Hex,Name,Reference
00000C,Cisco,
00000E,Fujitsu,
00000F,NeXT,
000010,Sytek,
00001D,Cabletron,
000020,DIAB (Data Intdustrier AB),
000022,Visual Technology,
00002A,TRW,
000032,GPT Limited (reassigned from GEC Computers Ltd),
00005A,S & Koch,
00005E,IANA,
000065,"NetScout Systems, Inc.",[Ashwani_Singhal]
00006B,MIPS,
000077,Interphase Corporation,
00007A,Ardent,
000080,Cray Communications A/S,
000089,Cayman Systems  Gatorbox,
000093,Proteon,
00009F,Ameristar Technology,
0000A2,Wellfleet,
0000A3,Network Application Technology,
0000A6,"NetScout Systems, Inc. (internal assignment, not for products)",[Ashwani_Singhal]
0000A7,NCD             X-terminals,
0000A9,Network Systems,
0000AA,Xerox           Xerox machines,
0000B3,CIMLinc,
0000B7,Dove            Fastnet,
0000BC,Allen-Bradley,
0000C0,Western Digital,
0000C5,Farallon phone net card,
0000C6,HP Intelligent Networks Operation (formerly Eon Systems),
0000C8,Altos,
0000C9,Emulex          Terminal Servers,
0000D0,Develcon,
0000D7,Dartmouth College (NED Router),
0000D8,3Com? Novell?   PS/2,
0000DD,Gould,
0000DE,Unigraph,
0000E2,Acer Counterpoint,
0000EF,Alantec,
0000FD,"High Level Hardvare (Orion, UK)",
000102,BBN             BBN internal usage (not registered),
0010D1,BlazeNet,
001700,Kabel,
0020AF,3COM ???,
0020C9,Victron,
002094,Cubix,
00256D,Broadband Forum (BBF),
00802B,IMAC ???,
00802D,"Xylogics, Inc.  Annex terminal servers",
008037,Ericsson,"[Ericsson Group, Telefonaktiebolaget, LM Ericsson Corp. 126 25 STOCKHOLM, SWEDEN, SWEDEN]"
008064,Wyse Technology / Link Technologies,
00808C,"NetScout Systems, Inc.",[Ashwani_Singhal]
0080C2,IEEE 802.1 Committee,
0080D3,Shiva,
00A03E,ATM Forum,
00AA00,Intel,
00DD00,Ungermann-Bass,
00DD01,Ungermann-Bass,
020701,Racal InterLan,
020406,BBN             BBN internal usage (not registered),
026086,Satelcom MegaPac (UK),
02608C,3Com            IBM PC; Imagen; Valid; Cisco,
02CF1F,CMC             Masscomp; Silicon Graphics; Prime EXL,
080002,3Com (Formerly Bridge),
080003,ACC (Advanced Computer Communications),
080005,Symbolics       Symbolics LISP machines,
080008,BBN,
080009,Hewlett-Packard,
08000A,Nestar Systems,
08000B,Unisys,
080011,"Tektronix, Inc.",
080014,"Excelan         BBN Butterfly, Masscomp, Silicon Graphics",
080017,NSC,
08001A,Data General,
08001B,Data General,
08001E,Apollo,
080020,Sun             Sun machines,
080022,NBI,
080025,CDC,
080026,Norsk Data (Nord),
080027,PCS Computer Systems GmbH,
080028,TI              Explorer,
08002B,DEC,
08002E,Metaphor,
08002F,Prime Computer  Prime 50-Series LHC300,
080036,Intergraph      CAE stations,
080037,Fuji-Xerox,
080038,Bull,
080039,Spider Systems,
080041,DCA Digital Comm. Assoc.,
080045,"???? (maybe Xylogics, but they claim not to know this number)",
080046,Sony,
080047,Sequent,
080049,Univation,
08004C,Encore,
08004E,BICC,
080056,Stanford University,
080058,???             DECsystem-20,
08005A,IBM,
080067,Comdesign,
080068,Ridge,
080069,Silicon Graphics,
08006E,Concurrent      Masscomp,
080075,DDE (Danish Data Elektronik A/S),
08007C,Vitalink        TransLAN III,
080080,XIOS,
080086,Imagen/QMS,
080087,Xyplex          terminal servers,
080089,Kinetics        AppleTalk-Ethernet interface,
08008B,Pyramid,
08008D,XyVision        XyVision machines,
080090,Retix Inc       Bridges,
484453,HDS ???,
800010,AT&T,
AA0000,DEC             obsolete,
AA0001,DEC             obsolete,
AA0002,DEC             obsolete,
AA0003,DEC             Global physical address for some DEC machines,
AA0004,"DEC             Local logical address for systems running
                DECNET",
